Dis No,Year,Seq,Disaster Group,DisasterSubgroup,Disaster Type,Disaster Subtype,value,Entry Criteria,Country,ISO,Region,Associated Dis,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,StartMonth,Start Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$)
2003-0391-CZE,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Czech Republic (the),CZE,Eastern Europe,,,,,,?,,,,,2003,7,,418,,,,,,,
2003-0781-DEU,2003,781,Natural,Meteorological,Storm,Convective storm,1,Kill,Germany,DEU,Western Europe,,,,,,Kph,,,,,2003,6,7,10,,,,,,,
2003-0372-ESP,2003,372,Natural,Climatological,Wildfire,Forest fire,1,Affected,Spain,ESP,Southern Europe,,,Yes,,1190,Km2,,,,,2003,1,,5,,200,,200,,,
2003-0529-ESP,2003,529,Technological,Technological,Transport accident,Water,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2003,10,25,45,,5,,5,,,
2003-0261-ESP,2003,261,Technological,Technological,Transport accident,Rail,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2003,6,3,22,40,,,40,,,
2003-0365-FRA,2003,365,Natural,Climatological,Wildfire,Forest fire,1,SigDis,France,FRA,Western Europe,,,,,180,Km2,,,,,2003,7,28,5,4,3000,,3004,,,
2003-0228-FRA,2003,228,Technological,Technological,Transport accident,Road,1,Kill,France,FRA,Western Europe,,No,No,,,,,,,,2003,5,17,28,46,,,46,,,
2003-0549-FRA,2003,549,Technological,Technological,Industrial accident,Collapse,1,Kill,France,FRA,Western Europe,,No,No,,,m3,,,,,2003,11,15,15,27,,,27,,,
2003-0226-FRA,2003,226,Technological,Technological,Miscellaneous accident,Fire,1,Kill,France,FRA,Western Europe,,No,No,,,,,,,,2003,5,14,10,18,,,18,,,
2003-0391-GBR,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,?,,,,,2003,7,,301,,,,,,,
2003-0174-GRC,2003,174,Technological,Technological,Transport accident,Road,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2003,4,13,21,30,,,30,,,
2003-0347-HRV,2003,347,Natural,Climatological,Wildfire,Forest fire,1,Declar,Croatia,HRV,Southern Europe,,,,,6,Km2,,,,,2003,7,18,,,,,,,,20000
2003-0216-HUN,2003,216,Technological,Technological,Transport accident,Road,1,Kill,Hungary,HUN,Eastern Europe,,No,No,,,,,,,,2003,5,8,33,5,,,5,,,
2003-9784-HUN,2003,9784,Natural,Climatological,Drought,Drought,1,Affected,Hungary,HUN,Eastern Europe,,,,,,Km2,,,,,2003,7,,,,,,,,,100000
2004-0163-BIH,2004,163,Natural,Hydrological,Flood,Riverine flood,1,Affected,Bosnia and Herzegovina,BIH,Southern Europe,"Slide (land, mud, snow, rock)",,Yes,45,2040,Km2,,,,"Vrbas, Lasva, Pliva, Bosna, Sana, Vrbanja, Josavka, Una, Zdena, Drina, Sava",2004,4,6,,,275000,,275000,,,
2004-0633-ALB,2004,633,Natural,Hydrological,Flood,Riverine flood,1,Affected,Albania,ALB,Southern Europe,Broken Dam/Burst bank,,,,430,Km2,,,,Drini river,2004,12,4,,,2500,,2500,,,173
2004-0427-FRA,2004,427,Natural,Meteorological,Storm,,1,Kill,France,FRA,Western Europe,Rain,,,,,Kph,,,,,2004,8,17,11,,,,,,,
2004-0026-GRC,2004,26,Natural,Meteorological,Storm,,1,Kill,Greece,GRC,Southern Europe,Rain,,,,,Kph,,,,,2004,1,22,,,,,,,,
2004-0333-ALB,2004,333,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Albania,ALB,Southern Europe,,,,,38,?,,,,,2004,7,1,3,,,,,,,
2004-0516-ALB,2004,516,Technological,Technological,Transport accident,Road,1,Kill,Albania,ALB,Southern Europe,,No,No,,,,,,,,2004,10,14,15,25,,,25,,,
2004-0368-BEL,2004,368,Technological,Technological,Industrial accident,Explosion,1,Kill,Belgium,BEL,Western Europe,,No,No,,,m3,,,,,2004,7,30,23,130,,,130,,,100000
2004-0169-BIH,2004,169,Natural,Hydrological,Flood,Riverine flood,1,Affected,Bosnia and Herzegovina,BIH,Southern Europe,,,,,47170,Km2,,,,Sava,2004,3,23,,,3000,,3000,,,
2004-0669-DEU,2004,669,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Germany,DEU,Western Europe,,,,,5,Richter,48.115,8.077,,,2004,12,5,,,150,,150,,8000,12000
2004-0730-DEU,2004,730,Natural,Meteorological,Storm,,1,SigDis,Germany,DEU,Western Europe,,,,,200,Kph,,,,,2004,1,12,2,,,,,,100000,130000
2004-0593-DNK,2004,593,Technological,Technological,Industrial accident,Explosion,1,Affected,Denmark,DNK,Northern Europe,,No,No,,,m3,,,,,2004,11,4,1,12,2000,60,2072,,,
2004-0145-ESP,2004,145,Natural,Hydrological,Flood,Riverine flood,1,Affected,Spain,ESP,Southern Europe,,,,,,Km2,,,,,2004,3,27,,,600,,600,,,14285
2004-0361-ESP,2004,361,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Spain,ESP,Southern Europe,,,,,,?,,,,,2004,7,26,26,,,,,,,
2004-0373-ESP,2004,373,Natural,Climatological,Wildfire,Forest fire,1,Affected,Spain,ESP,Southern Europe,,,,,420,Km2,,,,,2004,7,28,3,100,1000,,1100,,2000,3000
2004-0239-ESP,2004,239,Technological,Technological,Transport accident,Water,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2004,6,3,10,,,,,,,
2004-0116-FIN,2004,116,Technological,Technological,Transport accident,Road,1,Kill,Finland,FIN,Northern Europe,,No,No,,,,,,,,2004,3,19,24,15,,,15,,,
2004-0277-FRA,2004,277,Technological,Technological,Transport accident,Road,1,Kill,France,FRA,Western Europe,,No,No,,,,,,,,2004,6,23,11,39,,,39,,,
2004-0657-FRA,2004,657,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,France,FRA,Western Europe,,No,No,,,,,,,,2004,12,26,17,15,,,15,,,
2004-0423-GBR,2004,423,Natural,Hydrological,Flood,Flash flood,1,Affected,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,Km2,,,,"Valency, Jordan, Paradise, Camel",2004,8,16,,8,1000,,1008,,,96000
2004-0552-GBR,2004,552,Technological,Technological,Transport accident,Rail,1,Waiting,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,No,No,,,,,,,,2004,11,6,7,150,,,150,,,
2004-0032-GBR,2004,32,Technological,Technological,Miscellaneous accident,Other,1,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,No,No,,,,,,,,2004,1,30,14,3,,,3,,,
2004-0465-GRC,2004,465,Technological,Technological,Transport accident,Air,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2004,9,11,17,,,,,,,
2004-0030-GRC,2004,30,Technological,Technological,Transport accident,Water,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2004,1,29,22,,,,,,,
2004-0466-GRC,2004,466,Technological,Technological,Transport accident,Water,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2004,9,11,15,,7,,7,,,
2004-0741-GRC,2004,741,Natural,Meteorological,Storm,,1,Affected,Greece,GRC,Southern Europe,,,,,,Kph,,,,,2004,2,13,,,,,,,,340000
2004-0369-HUN,2004,369,Natural,Hydrological,Flood,Riverine flood,1,Affected,Hungary,HUN,Eastern Europe,,,,,,Km2,,,,Hernad,2004,7,27,,,384,9,393,,,
2005-0045-ALB,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Albania,ALB,Southern Europe,Cold wave,,,,,Kph,,,,,2005,1,23,2,,400000,,400000,,,
2005-0011-EST,2005,11,Natural,Meteorological,Storm,Extra-tropical storm,1,Affected,Estonia,EST,Northern Europe,Rain,,,,,Kph,,,,,2005,1,7,,,100,,100,,26000,130000
2005-0045-BGR,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Bulgaria,BGR,Eastern Europe,Cold wave,,Yes,,,Kph,,,,,2005,1,,,,,,,,,
2005-0045-BIH,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Bosnia and Herzegovina,BIH,Southern Europe,Cold wave,,,,,Kph,,,,,2005,2,,4,,,,,,,
2005-0045-CZE,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Czech Republic (the),CZE,Eastern Europe,Cold wave,,,,,Kph,,,,,2005,2,,,3,,,3,,,
2005-0045-HRV,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Croatia,HRV,Southern Europe,Cold wave,,,,,Kph,,,,,2005,2,,2,,,,,,,
2005-0045-HUN,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Hungary,HUN,Eastern Europe,Cold wave,,,,,Kph,,,,,2005,1,,4,,,,,,,
2005-0011-DNK,2005,11,Natural,Meteorological,Storm,Extra-tropical storm,1,Affected,Denmark,DNK,Northern Europe,Transport accident,,,,151,Kph,,,,,2005,1,7,4,,,,,,900000,1300000
2005-0011-GBR,2005,11,Natural,Meteorological,Storm,Extra-tropical storm,1,Affected,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Transport accident,,,,140,Kph,,,,,2005,1,7,3,,3000,,3000,,500000,650000
2005-0201-CHE,2005,201,Technological,Technological,Transport accident,Road,1,Kill,Switzerland,CHE,Western Europe,,No,No,,,,,,,,2005,4,17,12,,,,,,,
2005-0131-CZE,2005,131,Natural,Hydrological,Flood,Riverine flood,1,Affected,Czech Republic (the),CZE,Eastern Europe,,,,,,Km2,,,,Sazava river,2005,3,17,1,,,,,,,
2005-0011-DEU,2005,11,Natural,Meteorological,Storm,Extra-tropical storm,1,Affected,Germany,DEU,Western Europe,,,,,181,Kph,,,,,2005,1,8,2,2,,,2,,200000,270000
2005-0066-ESP,2005,66,Technological,Technological,Miscellaneous accident,Other,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2005,2,6,18,,,,,,,
2005-0198-FRA,2005,198,Technological,Technological,Miscellaneous accident,Fire,1,Kill,France,FRA,Western Europe,,No,No,,,,,,,,2005,4,14,23,50,,,50,,,
2005-0131-HUN,2005,131,Natural,Hydrological,Flood,Riverine flood,1,Affected,Hungary,HUN,Eastern Europe,,,,,940,Km2,,,,"Koros, Danube",2005,3,17,,,,,,,,
2003-0391-SVN,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Slovenia,SVN,Southern Europe,Drought,,,,,?,,,,,2003,7,,289,,,,,,,80000
2003-0433-ITA,2003,433,Natural,Hydrological,Flood,Riverine flood,1,Affected,Italy,ITA,Southern Europe,"Slide (land, mud, snow, rock)",,Yes,,1100,Km2,,,,,2003,8,29,2,,350,,350,,,655000
2003-0184-ITA,2003,184,Natural,Geophysical,Earthquake,Ground movement,1,Affect,Italy,ITA,Southern Europe,"Slide (land, mud, snow, rock)",,,,5,Richter,44.792,8.892,10:26,,2003,4,11,,2,230,,232,,,561352
2003-0497-RUS,2003,497,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Russian Federation (the),RUS,Eastern Europe,"Slide (land, mud, snow, rock)",,,,7,Richter,50.038,87.813,,,2003,9,27,3,5,,1800,1805,,,10600
2003-0585-MKD,2003,585,Natural,Hydrological,Flood,Riverine flood,1,Affected,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,Broken Dam/Burst bank,,Yes,,,Km2,,,,Markova reka,2003,11,30,,,750,,750,,,
2003-0388-RUS,2003,388,Natural,Meteorological,Storm,Tropical cyclone,1,Kill,Russian Federation (the),RUS,Eastern Europe,Rain,,,,,Kph,,,,,2003,8,8,,,,,,,,
2003-0391-ITA,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Italy,ITA,Southern Europe,Drought,,,,,?,,,,,2003,7,16,20089,,,,,,,4400000
2003-0391-SVK,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Slovakia,SVK,Eastern Europe,Drought,,,,,?,,,,,2003,7,,,,,,,,,150000
2003-0298-ITA,2003,298,Technological,Technological,Transport accident,Water,1,Kill,Italy,ITA,Southern Europe,,No,No,,,,,,,,2003,6,10,67,,,,,,,
2003-0391-LUX,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Luxembourg,LUX,Western Europe,,,,,,?,,,,,2003,7,,170,,,,,,,
2003-0391-NLD,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Netherlands (the),NLD,Western Europe,,,,,,?,,,,,2003,7,31,965,,,,,,,
2003-0391-PRT,2003,391,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Portugal,PRT,Southern Europe,,,,,,?,,,,,2003,8,,2696,,,,,,,
2003-0376-PRT,2003,376,Natural,Climatological,Wildfire,Forest fire,1,Kill,Portugal,PRT,Southern Europe,,,Yes,835,4260,Km2,,,,,2003,8,,14,,150000,,150000,,6000,1730000
2003-0462-PRT,2003,462,Technological,Technological,Transport accident,Air,1,Kill,Portugal,PRT,Southern Europe,,No,No,,,,,,,,2003,9,11,10,,,,,,,
2003-0393-RUS,2003,393,Natural,Hydrological,Flood,Riverine flood,1,Affected,Russian Federation (the),RUS,Eastern Europe,,,,,8220,Km2,,,,"Elegest, Duren",2003,7,29,,,600,,600,,,
2003-0198-RUS,2003,198,Natural,Climatological,Wildfire,Forest fire,1,Declar/Int,Russian Federation (the),RUS,Eastern Europe,,,Yes,,17000,Km2,,,,,2003,4,,,,,,,,,
2003-0207-RUS,2003,207,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2003,5,3,12,,,,,,,
2003-0816-RUS,2003,816,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2003,8,20,20,,,,,,,
2003-0427-RUS,2003,427,Technological,Technological,Transport accident,Road,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2003,8,28,11,25,,,25,,,
2003-0277-RUS,2003,277,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2003,6,6,11,3,,,3,,,
2003-0291-RUS,2003,291,Technological,Technological,Industrial accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2003,6,16,11,2,,,2,,,
2003-0221-RUS,2003,221,Technological,Technological,Industrial accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2003,5,12,10,1,,,1,,,
2003-0163-RUS,2003,163,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2003,4,7,22,39,,,39,,,
2003-0171-RUS,2003,171,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2003,4,10,28,113,,,113,,,
2003-0568-RUS,2003,568,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2003,11,24,37,197,,,197,,,
2003-0590-SPI,2003,590,Technological,Technological,Transport accident,Water,1,Kill,Canary Is,SPI,Southern Europe,,No,No,,,,,,,,2003,12,2,15,,,,,,,
2003-0791-SCG,2003,791,Technological,Technological,Miscellaneous accident,Other,1,Affected,Serbia Montenegro,SCG,Southern Europe,,,,,,,,,,,2003,12,12,,,307,,307,,,
2003-0371-SVK,2003,371,Technological,Technological,Transport accident,Road,1,Kill,Slovakia,SVK,Eastern Europe,,No,No,,,,,,,,2003,8,3,11,24,,,24,,,
2003-0608-UKR,2003,608,Technological,Technological,Transport accident,Road,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2003,12,17,17,19,,,19,,,
2004-0568-ITA,2004,568,Natural,Meteorological,Storm,Convective storm,1,Affected,Italy,ITA,Southern Europe,Flood,,,,,Kph,,,,,2004,11,13,2,,200,,200,,,
2004-0257-ROU,2004,257,Natural,Meteorological,Storm,,1,Affected,Romania,ROU,Eastern Europe,"Slide (land, mud, snow, rock)",,,,,Kph,,,,,2004,6,13,1,,600,,600,,,
2004-0336-ROU,2004,336,Natural,Meteorological,Storm,Convective storm,1,Affected,Romania,ROU,Eastern Europe,"Slide (land, mud, snow, rock)",,,,,Kph,,,,,2004,7,10,7,,1200,,1200,,,
2004-0365-ROU,2004,365,Natural,Hydrological,Flood,Riverine flood,1,Affected,Romania,ROU,Eastern Europe,"Slide (land, mud, snow, rock)",,,,3540,Km2,,,,"Trotus, Teleajen",2004,7,28,4,,14128,,14128,,,
2004-0369-SVK,2004,369,Natural,Hydrological,Flood,Riverine flood,1,Affected,Slovakia,SVK,Eastern Europe,"Slide (land, mud, snow, rock)",,,,,Km2,,,,"Hornad, Bodrog, Torysa, Ondava",2004,7,27,1,,230,,230,,,
2004-0670-SVN,2004,670,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Slovenia,SVN,Southern Europe,"Slide (land, mud, snow, rock)",,,,5,Richter,46.296,13.641,,,2004,7,12,1,5,600,,605,,1000,10000
2004-0454-RUS,2004,454,Natural,Hydrological,Flood,Riverine flood,1,Affected,Russian Federation (the),RUS,Eastern Europe,Broken Dam/Burst bank,,,,830,Km2,,,,"Chalmyk, Okart",2004,8,31,,,500,,500,,,4962
2004-0266-RUS,2004,266,Natural,Meteorological,Storm,Convective storm,1,Affected,Russian Federation (the),RUS,Eastern Europe,Hail,,,,,Kph,,,,,2004,6,9,,,6000,,6000,,,
2004-0444-ROU,2004,444,Natural,Hydrological,Flood,Flash flood,1,Affected,Romania,ROU,Eastern Europe,Rain,,Yes,,,Km2,,,,,2004,8,27,6,,14000,,14000,,,
2004-0383-PRT,2004,383,Natural,Climatological,Wildfire,Forest fire,1,SigDis,Portugal,PRT,Southern Europe,Heat wave,,,,1080,Km2,,,,,2004,7,,2,,,,,,,
2004-0596-IRL,2004,596,Natural,Meteorological,Storm,,1,Affected,Ireland,IRL,Northern Europe,Flood,,,,6530,Kph,,,,"Lee, Suir, Slaney",2004,10,27,,,200,,200,,,
2004-0459-RUS,2004,459,Natural,Meteorological,Storm,Tropical cyclone,1,Kill,Russian Federation (the),RUS,Eastern Europe,Transport accident,,,,,Kph,,,,,2004,9,10,3,,,,,,,
2004-0014-ITA,2004,14,Technological,Technological,Transport accident,Water,1,Kill,Italy,ITA,Southern Europe,,No,No,,,,,,,,2004,1,10,26,7,,,7,,,
2004-0252-MKD,2004,252,Natural,Hydrological,Flood,Riverine flood,1,Affected,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,,,,30,14370,Km2,,,,"Pena, Vardar, Anska Reka, Trkajna, Turija",2004,6,4,,,100000,,100000,,,3600
2004-0333-MKD,2004,333,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,,,,,43,?,,,,,2004,7,1,15,,,,,,,
2004-0051-MLT,2004,51,Technological,Technological,Transport accident,Water,1,Kill,Malta,MLT,Southern Europe,,No,No,,,,,,,,2004,2,,16,4,,,4,,,
2004-0020-NOR,2004,20,Technological,Technological,Transport accident,Water,1,Kill,Norway,NOR,Northern Europe,,No,No,,,,,,,,2004,1,19,18,,12,,12,,,
2004-0369-POL,2004,369,Natural,Hydrological,Flood,Riverine flood,1,Affected,Poland,POL,Eastern Europe,,,,,,Km2,,,,,2004,7,27,,,600,,600,,,
2004-9704-PRT,2004,9704,Natural,Climatological,Drought,Drought,1,SigDam,Portugal,PRT,Southern Europe,,,,,,Km2,,,,,2004,9,,,,,,,,,1338136
2004-0333-ROU,2004,333,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Romania,ROU,Eastern Europe,,,,,38,?,,,,,2004,7,1,27,,,,,,,
2004-0226-ROU,2004,226,Technological,Technological,Transport accident,Road,1,Kill,Romania,ROU,Eastern Europe,,No,No,,,,,,,,2004,5,24,18,13,,,13,,,
2004-0356-ROU,2004,356,Natural,Meteorological,Storm,,1,Affected,Romania,ROU,Eastern Europe,,,,,,Kph,,,,,2004,7,22,4,,600,,600,,,
2004-0250-RUS,2004,250,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Russian Federation (the),RUS,Eastern Europe,,,,,5,Richter,47.311,142.12,,,2004,5,31,,,138,,138,,,
2004-0164-RUS,2004,164,Natural,Hydrological,Flood,Riverine flood,1,Affected,Russian Federation (the),RUS,Eastern Europe,,,,,840000,Km2,,,,Dnepr,2004,3,30,,,1220,,1220,,,1797
2004-0172-RUS,2004,172,Natural,Hydrological,Flood,Riverine flood,1,Affected,Russian Federation (the),RUS,Eastern Europe,,,Yes,,264500,Km2,,,,"Kondoma, Malyshev Log, Tom, Maima, Udalushka, Isha, Biya, Chumysh, Abakan",2004,4,14,18,,4800,,4800,,16000,50000
2004-0388-RUS,2004,388,Natural,Meteorological,Storm,Tropical cyclone,1,Declar,Russian Federation (the),RUS,Eastern Europe,,,,,100,Kph,,,,,2004,7,22,6,62,,,62,,,6000
2004-0208-RUS,2004,208,Natural,Climatological,Wildfire,Forest fire,1,Affected,Russian Federation (the),RUS,Eastern Europe,,,,,245,Km2,,,,,2004,5,14,9,,,1000,1000,,,
2004-0385-RUS,2004,385,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,8,5,15,,,,,,,
2004-0684-RUS,2004,684,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,8,24,90,,,,,,,
2004-0128-RUS,2004,128,Technological,Technological,Transport accident,Road,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,3,25,10,1,,,1,,,
2004-0467-RUS,2004,467,Technological,Technological,Transport accident,Road,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,9,12,11,11,,,11,,,
2004-0551-RUS,2004,551,Technological,Technological,Transport accident,Water,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,11,2,26,2,,,2,,,
2004-0101-RUS,2004,101,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,2,26,18,18,,,18,,,
2004-0112-RUS,2004,112,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,3,16,58,24,,,24,,,
2004-0155-RUS,2004,155,Technological,Technological,Industrial accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2004,4,10,47,6,,,6,,,
2004-0538-RUS,2004,538,Technological,Technological,Industrial accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2004,10,28,13,23,,,23,,,
2004-0187-RUS,2004,187,Technological,Technological,Industrial accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2004,4,26,13,8,,,8,,,
2004-0056-RUS,2004,56,Technological,Technological,Miscellaneous accident,Collapse,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,2,14,27,111,,,111,,,
2004-0715-RUS,2004,715,Technological,Technological,Miscellaneous accident,Other,1,Affected,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,6,25,,207,,,207,,,
2004-0727-RUS,2004,727,Technological,Technological,Miscellaneous accident,Other,1,Affected,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,11,26,,140,,,140,,,
2004-0558-RUS,2004,558,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,11,10,29,22,142,,164,,,
2004-0623-RUS,2004,623,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2004,12,3,15,,,,,,,
2004-0361-SPI,2004,361,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Canary Is,SPI,Southern Europe,,,,,42,?,,,,,2004,7,26,13,113,,,113,,,
2004-0016-SPI,2004,16,Technological,Technological,Transport accident,Water,1,Kill,Canary Is,SPI,Southern Europe,,No,No,,,,,,,,2004,1,16,16,,9,,9,,,
2004-0695-SPI,2004,695,Technological,Technological,Transport accident,Water,1,Kill,Canary Is,SPI,Southern Europe,,No,No,,,,,,,,2004,8,13,33,,,,,,,
2004-0139-SCG,2004,139,Technological,Technological,Transport accident,Road,1,Kill,Serbia Montenegro,SCG,Southern Europe,,,,,,,,,,,2004,4,4,12,38,,,38,,,
2004-0584-SVK,2004,584,Natural,Meteorological,Storm,,1,Declar,Slovakia,SVK,Eastern Europe,,,,50,170,Kph,,,,,2004,11,19,2,24,10300,,10324,,,383300
2004-0429-UKR,2004,429,Technological,Technological,Transport accident,Road,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2004,8,19,10,14,,,14,,,
2004-0207-UKR,2004,207,Technological,Technological,Transport accident,Rail,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2004,5,16,15,20,,,20,,,
2004-0203-UKR,2004,203,Technological,Technological,Miscellaneous accident,Explosion,1,Affected,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2004,5,6,5,300,5000,,5300,,,
2004-0351-UKR,2004,351,Technological,Technological,Industrial accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,m3,,,,,2004,7,19,36,,,,,,,
2005-0214-ROU,2005,214,Natural,Hydrological,Flood,Riverine flood,1,Affected,Romania,ROU,Eastern Europe,Broken Dam/Burst bank,,Yes,674,,Km2,,,,"Birzava, Timis, Bega",2005,4,21,2,,3400,,3400,,,200000
2005-0131-ROU,2005,131,Natural,Hydrological,Flood,Riverine flood,1,Affected,Romania,ROU,Eastern Europe,"Slide (land, mud, snow, rock)",,,,,Km2,,,,,2005,3,17,2,,600,,600,,,
2005-0229-RUS,2005,229,Natural,Hydrological,Flood,Riverine flood,1,Affected,Russian Federation (the),RUS,Eastern Europe,Broken Dam/Burst bank,,Yes,,,Km2,,,,"Biripusa, Katcha rivers",2005,4,,3,,222,,222,,,
2005-0214-SCG,2005,214,Natural,Hydrological,Flood,Riverine flood,1,Affected,Serbia Montenegro,SCG,Southern Europe,Broken Dam/Burst bank,,,333,,Km2,,,,Tamis river,2005,4,20,2,,1945,1845,3790,,,
2005-0011-RUS,2005,11,Natural,Meteorological,Storm,Extra-tropical storm,1,Affected,Russian Federation (the),RUS,Eastern Europe,Rain,,,,,Kph,,,,,2005,1,7,,2,,,2,,,
2005-0045-MKD,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,Cold wave,,,,,Kph,,,,,2005,1,,1,3,,,3,,,
2005-0045-POL,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Poland,POL,Eastern Europe,Cold wave,,,,,Kph,,,,,2005,2,,,,,,,,,
2005-0045-ROU,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Romania,ROU,Eastern Europe,Cold wave,,,,,Kph,,,,,2005,1,,3,,,,,,,
2005-0045-RUS,2005,45,Natural,Meteorological,Storm,Convective storm,1,Declar,Russian Federation (the),RUS,Eastern Europe,Cold wave,,,,,Kph,,,,,2005,2,,,,,,,,,
